n,i,t,a
Madison,51113,358390500,0.538
Mahaska,19123,9140720,1.846
Mahnomen,27087,666633,0.069
Mahoning,39099,430901,0.335
Manitowoc,55071,1473571,0.433
Marathon,55073,2491566,0.322
Marinette,55075,694431,0.233
Marion,54049,384184581,1.281
Marlboro,45069,94556,0.457
Marquette,55077,3441796,0.549
Marshall,54051,239031696,0.595
Martin,48317,66045462,1.383
Mason,54053,9337482,0.366
Massac,17127,191093,0.389
Matagorda,48321,125732,0.062
Maury,47119,462797,1.612
McClain,40087,47116,0.17
McCook,46087,2934471,0.355
McCracken,21145,278222,0.329
McCulloch,48307,31775,0.113
McCurtain,40089,1771646,1.478
McDonough,17109,364923,0.033
McHenry,38049,9197966,0.446
McIntosh,40091,2782896,0.161
McKenzie,38053,132144,0.979
McLean,38055,16592667,0.388
McLennan,48309,3642064,1.765
McLeod,27085,3114385,0.308
McMinn,47107,296379,0.864
McNairy,47109,258045,1.748
McPherson,46089,8336091,0.295
Meade,46093,2384574,0.242
Mecklenburg,51117,107288,0.394
Mecosta,26107,580182,0.859
Medina,48325,6460072,1.104
Meeker,27093,2210648,0.35
Mellette,46095,39023,0.325
Menard,48327,956742,0.354
Menominee,55078,3991038,1.61
Mercer,54055,112784896,0.85
Merrick,31121,5965527,1.129
Miami,39109,12325635,0.561
Midland,48329,595382,0.119
Mifflin,42087,288966,0.365
Milam,48331,2175752,1.367
Mille Lacs,27095,1210857,0.931
Miller,5091,5739885,0.795
Mills,48333,12835386,0.701
Miner,46097,2058932,0.28
Minnehaha,46099,2319405,0.211
Missaukee,26113,360433,0.349
Mississippi,5093,2099865,0.732
Mitchell,48335,35829785,0.283
Moniteau,29135,312329,0.848
Monmouth,34025,16064,0.49
Monona,19133,3172136,0.405
Monroe,55081,239277873,0.661
Montcalm,26117,770386,0.464
Montgomery,51121,255960108,0.427
Montour,42093,6841,0.014
Montrose,8085,33815,0.336
Moody,46101,2625186,0.201
Moore,48341,1063764,0.579
Morehouse,22067,2446670,0.751
Morgan,8087,146484778,1.377
Morrill,31123,1695651,0.424
Morris,48343,515493,0.058
Morrison,27097,3982056,0.522
Morrow,41049,7130794,0.916
Morton,38059,4346068,0.708
Moultrie,17139,4470424,0.629
Mountrail,38061,6267,0.07
Mower,27099,8213644,0.41
Muhlenberg,21177,375605,0.43
Murray,40099,5514408,0.19
Muscatine,19139,7098749,1.035
Muskegon,26121,524694,0.719
Muskingum,39119,1098173,1.885
Muskogee,40101,42543,0.701
Nance,31125,2434567,0.258
Nash,37127,121914,0.569
Natchitoches,22069,14014,0.027
Navarro,48349,1057291,2.9
Nelson,51125,8714601,0.677
Nemaha,31127,6877190,0.585
Neosho,20133,963084,0.695
Ness,20135,117035,0.138
New Castle,10003,1384298,1.134
New London,9011,23465,0.283
New Madrid,29143,172865,0.861
Newaygo,26123,665087,0.921
Newberry,45071,573506,4.657
Newton,5101,6132084,0.256
Niagara,36063,13726,0.015
Nicholas,54067,92230,1.047
Nicollet,27103,2487007,0.222
Noble,40103,12984705,1.094
Nobles,27105,2270286,0.186
Nodaway,29147,3907734,0.595
Norman,27107,668605,0.216
Northampton,51131,1629285,0.34
Northumberland,51133,1043944,0.167
Norton,51720,2654466,0.151
Nowata,40105,49043,1.536
Noxubee,28103,3314,0.012
Nuckolls,31129,494284,0.051
Nueces,48355,80201,0.263
Obion,47131,809509,0.39
Oceana,26127,184393,1.151
Oconto,55083,2671733,0.868
Ogemaw,26129,93659,0.199
Ogle,17141,5502303,0.153
Ohio,54069,789968,0.119
Okaloosa,12091,5221,1.011
Oklahoma,40109,140016,0.656
Okmulgee,40111,2090,0.051
Oliver,38065,502485,1.081
Olmsted,27109,4063356,0.448
Oneida,55085,47262,0.117
Onondaga,36067,19827,0.126
Onslow,37133,964832,1.799
Ontario,36069,20123,0.014
Orange,6059,2377968,0.243
Orangeburg,45075,2953365,0.982
Osage,40113,2500488,0.378
Osborne,20141,48430,0.047
Osceola,26133,2978139,0.332
Otero,8089,1373100,0.252
Otoe,31131,3004496,1.125
Otsego,36077,67842,0.456
Ottawa,40115,14962784,0.792
Ouachita,5103,331080,0.513
Outagamie,55087,2410665,0.436
Owen,21187,7364992,4.517
Ozaukee,55089,451706,0.554
Page,51139,13760586,0.655
